Nama_File,Canny_Edge_Density_Low,Canny_Edge_Density_Medium,Canny_Edge_Density_High,Canny_Contour_Count_Low,Canny_Contour_Count_Medium,Canny_Contour_Count_High,Canny_Avg_Contour_Length_Low,Canny_Avg_Contour_Length_Medium,Canny_Avg_Contour_Length_High,Sobel_Mean,Sobel_Std
istockphoto-1063364654-612x612.jpg,0.4965,0.1922,0.1485,13,8,4,212.82,133.82,206.91,10.41,27.6
istockphoto-1063364654-612x612.jpg,0.4965,0.1922,0.1485,13,8,4,212.82,133.82,206.91,10.41,27.6
istockphoto-1076679510-612x612.jpg,0.5901,0.3512,0.3144,7,6,6,477.26,337.58,301.88,15.44,35.99
istockphoto-1076679510-612x612.jpg,0.5901,0.3512,0.3144,7,6,6,477.26,337.58,301.88,15.44,35.99
istockphoto-1087019400-612x612.jpg,0.4477,0.3016,0.2835,4,3,3,468.97,411.79,389.6,8.18,30.48
istockphoto-1087019400-612x612.jpg,0.4477,0.3016,0.2835,4,3,3,468.97,411.79,389.6,8.18,30.48
istockphoto-1087020114-612x612.jpg,0.5519,0.4906,0.3913,8,7,6,291.87,289.31,259.31,13.66,33.37
istockphoto-1087020114-612x612.jpg,0.5519,0.4906,0.3913,8,7,6,291.87,289.31,259.31,13.66,33.37
istockphoto-1087030692-612x612.jpg,0.4694,0.2912,0.2603,7,6,4,292.01,206.95,276.36,8.77,31.44
istockphoto-1087030692-612x612.jpg,0.4694,0.2912,0.2603,7,6,4,292.01,206.95,276.36,8.77,31.44
istockphoto-1095545676-612x612.jpg,0.6327,0.4171,0.3019,11,6,5,302.67,365.16,319.67,17.25,39.54
istockphoto-1095545676-612x612.jpg,0.6327,0.4171,0.3019,11,6,5,302.67,365.16,319.67,17.25,39.54
istockphoto-1129868297-612x612.jpg,0.6729,0.5333,0.2701,7,6,4,587.85,528.72,404.81,11.81,37.28
istockphoto-1129868297-612x612.jpg,0.6729,0.5333,0.2701,7,6,4,587.85,528.72,404.81,11.81,37.28
istockphoto-1132339646-612x612.jpg,0.4949,0.342,0.1505,2,3,2,1337.68,620.4,398.35,10.93,26.78
istockphoto-1132339646-612x612.jpg,0.4949,0.342,0.1505,2,3,2,1337.68,620.4,398.35,10.93,26.78
istockphoto-1133583592-612x612.jpg,0.5142,0.4332,0.2618,7,7,4,405.84,334.56,358.0,11.03,30.76
istockphoto-1133583592-612x612.jpg,0.5142,0.4332,0.2618,7,7,4,405.84,334.56,358.0,11.03,30.76
istockphoto-1134196638-612x612.jpg,0.5766,0.2236,0.1295,6,5,5,669.52,319.02,180.72,10.14,30.38
istockphoto-1134196638-612x612.jpg,0.5766,0.2236,0.1295,6,5,5,669.52,319.02,180.72,10.14,30.38
istockphoto-1135477663-612x612.jpg,0.6521,0.6085,0.5145,9,7,6,350.13,419.07,413.24,12.87,32.74
istockphoto-1135477663-612x612.jpg,0.6521,0.6085,0.5145,9,7,6,350.13,419.07,413.24,12.87,32.74
istockphoto-1185499614-612x612.jpg,0.6563,0.6178,0.5495,10,8,5,436.32,509.16,730.21,14.59,42.89
istockphoto-1185499614-612x612.jpg,0.6563,0.6178,0.5495,10,8,5,436.32,509.16,730.21,14.59,42.89
istockphoto-1226207985-612x612.jpg,0.4746,0.4412,0.2801,4,4,5,738.19,687.32,333.45,11.85,28.24
istockphoto-1226207985-612x612.jpg,0.4746,0.4412,0.2801,4,4,5,738.19,687.32,333.45,11.85,28.24
istockphoto-123692448-612x612.jpg,0.6467,0.4533,0.2752,10,6,6,400.63,469.55,285.7,12.15,37.8
istockphoto-123692448-612x612.jpg,0.6467,0.4533,0.2752,10,6,6,400.63,469.55,285.7,12.15,37.8
istockphoto-1279302542-612x612.jpg,0.7485,0.5471,0.3432,10,10,8,336.08,242.88,196.37,9.13,34.79
istockphoto-1279302542-612x612.jpg,0.7485,0.5471,0.3432,10,10,8,336.08,242.88,196.37,9.13,34.79
istockphoto-1301925621-612x612.jpg,0.5503,0.4156,0.1685,4,2,3,688.07,1034.45,280.84,10.38,28.58
istockphoto-1301925621-612x612.jpg,0.5503,0.4156,0.1685,4,2,3,688.07,1034.45,280.84,10.38,28.58
istockphoto-1326454417-612x612.jpg,0.3705,0.2936,0.1846,5,4,2,341.91,341.87,422.3,9.79,29.72
istockphoto-1326454417-612x612.jpg,0.3705,0.2936,0.1846,5,4,2,341.91,341.87,422.3,9.79,29.72
istockphoto-1366928819-612x612.jpg,0.7085,0.5204,0.3892,7,4,4,668.37,863.94,634.32,10.85,39.32
istockphoto-1366928819-612x612.jpg,0.7085,0.5204,0.3892,7,4,4,668.37,863.94,634.32,10.85,39.32
istockphoto-1393602097-612x612.jpg,0.8855,0.4277,0.1838,48,11,6,104.94,216.02,174.26,22.52,47.84
istockphoto-1393602097-612x612.jpg,0.8855,0.4277,0.1838,48,11,6,104.94,216.02,174.26,22.52,47.84
istockphoto-140477023-612x612.jpg,0.5522,0.374,0.2956,6,4,1,433.89,428.28,1318.06,12.58,39.49
istockphoto-140477023-612x612.jpg,0.5522,0.374,0.2956,6,4,1,433.89,428.28,1318.06,12.58,39.49
istockphoto-144292180-612x612.jpg,0.5659,0.3869,0.3348,10,8,6,251.32,216.36,249.54,12.44,44.38
istockphoto-144292180-612x612.jpg,0.5659,0.3869,0.3348,10,8,6,251.32,216.36,249.54,12.44,44.38
istockphoto-147083227-612x612.jpg,0.4922,0.436,0.3312,4,4,3,545.83,476.17,484.85,12.69,34.67
istockphoto-147083227-612x612.jpg,0.4922,0.436,0.3312,4,4,3,545.83,476.17,484.85,12.69,34.67
istockphoto-147083228-612x612.jpg,0.5392,0.3789,0.2398,7,4,2,395.5,482.91,603.65,14.33,34.72
istockphoto-147083228-612x612.jpg,0.5392,0.3789,0.2398,7,4,2,395.5,482.91,603.65,14.33,34.72
istockphoto-155273577-612x612.jpg,0.7385,0.4734,0.3814,8,5,6,471.51,489.06,321.75,12.64,39.65
istockphoto-155273577-612x612.jpg,0.7385,0.4734,0.3814,8,5,6,471.51,489.06,321.75,12.64,39.65
istockphoto-1675181598-612x612.jpg,0.4798,0.4477,0.4419,4,2,2,779.55,1444.06,1422.29,11.11,39.86
istockphoto-1675181598-612x612.jpg,0.4798,0.4477,0.4419,4,2,2,779.55,1444.06,1422.29,11.11,39.86
istockphoto-175545299-612x612.jpg,0.668,0.6224,0.5174,8,7,5,389.24,412.35,481.95,16.61,46.22
istockphoto-175545299-612x612.jpg,0.668,0.6224,0.5174,8,7,5,389.24,412.35,481.95,16.61,46.22
istockphoto-177284411-612x612.jpg,0.5298,0.4213,0.3412,14,10,7,169.67,187.24,214.59,16.87,48.12
istockphoto-177284411-612x612.jpg,0.5298,0.4213,0.3412,14,10,7,169.67,187.24,214.59,16.87,48.12
istockphoto-178501930-612x612.jpg,0.6836,0.5403,0.306,9,7,5,353.4,356.63,271.61,15.19,41.41
istockphoto-178501930-612x612.jpg,0.6836,0.5403,0.306,9,7,5,353.4,356.63,271.61,15.19,41.41
istockphoto-181877576-612x612.jpg,0.6255,0.3162,0.2633,14,7,4,222.4,230.49,331.84,14.02,37.29
istockphoto-181877576-612x612.jpg,0.6255,0.3162,0.2633,14,7,4,222.4,230.49,331.84,14.02,37.29
istockphoto-184977324-612x612.jpg,0.5907,0.3516,0.1482,37,5,4,97.59,420.75,205.92,15.77,35.24
istockphoto-184977324-612x612.jpg,0.5907,0.3516,0.1482,37,5,4,97.59,420.75,205.92,15.77,35.24
istockphoto-2220579022-612x612.jpg,0.6203,0.3946,0.166,10,5,4,359.17,457.19,248.27,12.12,30.91
istockphoto-2220579022-612x612.jpg,0.6203,0.3946,0.166,10,5,4,359.17,457.19,248.27,12.12,30.91
istockphoto-2242248675-612x612.jpg,0.5205,0.4804,0.3864,9,4,2,310.49,639.94,1023.36,15.3,41.52
istockphoto-2242248675-612x612.jpg,0.5205,0.4804,0.3864,9,4,2,310.49,639.94,1023.36,15.3,41.52
istockphoto-465341926-612x612.jpg,0.6459,0.3185,0.1851,9,6,4,396.19,287.93,250.06,19.49,36.53
istockphoto-465341926-612x612.jpg,0.6459,0.3185,0.1851,9,6,4,396.19,287.93,250.06,19.49,36.53
istockphoto-466531300-612x612.jpg,0.5198,0.3284,0.267,20,8,7,178.55,283.81,256.96,14.79,37.97
istockphoto-466531300-612x612.jpg,0.5198,0.3284,0.267,20,8,7,178.55,283.81,256.96,14.79,37.97
istockphoto-467486600-612x612.jpg,0.5097,0.3837,0.3046,13,11,10,267.52,238.8,201.71,14.72,39.14
istockphoto-467486600-612x612.jpg,0.5097,0.3837,0.3046,13,11,10,267.52,238.8,201.71,14.72,39.14
istockphoto-469077826-612x612.jpg,0.6699,0.3418,0.2138,8,5,4,469.44,374.11,293.19,17.81,35.64
istockphoto-469077826-612x612.jpg,0.6699,0.3418,0.2138,8,5,4,469.44,374.11,293.19,17.81,35.64
istockphoto-469257342-612x612.jpg,0.4402,0.2694,0.1397,6,6,4,395.59,242.16,195.96,11.37,31.25
istockphoto-469257342-612x612.jpg,0.4402,0.2694,0.1397,6,6,4,395.59,242.16,195.96,11.37,31.25
istockphoto-482155234-612x612.jpg,0.5046,0.4339,0.2141,8,6,6,428.99,487.65,245.8,11.49,35.46
istockphoto-482155234-612x612.jpg,0.5046,0.4339,0.2141,8,6,6,428.99,487.65,245.8,11.49,35.46
istockphoto-526075659-612x612.jpg,1.1227,0.5884,0.3956,18,9,8,341.43,350.25,265.6,24.12,52.19
istockphoto-526075659-612x612.jpg,1.1227,0.5884,0.3956,18,9,8,341.43,350.25,265.6,24.12,52.19
istockphoto-531932353-612x612.jpg,0.6636,0.4746,0.3152,6,4,2,512.08,546.92,751.68,23.67,45.52
istockphoto-531932353-612x612.jpg,0.6636,0.4746,0.3152,6,4,2,512.08,546.92,751.68,23.67,45.52
istockphoto-628329026-612x612.jpg,0.4761,0.444,0.4368,4,2,2,542.33,1013.88,1003.23,14.96,51.74
istockphoto-628329026-612x612.jpg,0.4761,0.444,0.4368,4,2,2,542.33,1013.88,1003.23,14.96,51.74
istockphoto-825296046-612x612.jpg,0.4745,0.4713,0.3846,3,2,2,725.18,1081.36,905.15,12.85,41.59
istockphoto-825296046-612x612.jpg,0.4745,0.4713,0.3846,3,2,2,725.18,1081.36,905.15,12.85,41.59
istockphoto-841873650-612x612.jpg,0.6071,0.5635,0.2339,4,4,3,689.11,640.16,341.9,18.25,34.27
istockphoto-841873650-612x612.jpg,0.6071,0.5635,0.2339,4,4,3,689.11,640.16,341.9,18.25,34.27
istockphoto-875187092-612x612.jpg,0.6016,0.4236,0.2435,3,4,4,1011.34,546.59,298.23,9.96,29.47
istockphoto-875187092-612x612.jpg,0.6016,0.4236,0.2435,3,4,4,1011.34,546.59,298.23,9.96,29.47
istockphoto-887973968-612x612.jpg,1.0544,0.7236,0.6355,12,7,6,368.68,434.59,441.9,17.34,46.82
istockphoto-887973968-612x612.jpg,1.0544,0.7236,0.6355,12,7,6,368.68,434.59,441.9,17.34,46.82
istockphoto-891632100-612x612.jpg,0.1661,0.0599,0.0574,8,2,1,147.63,222.57,432.07,10.25,23.9
istockphoto-891632100-612x612.jpg,0.1661,0.0599,0.0574,8,2,1,147.63,222.57,432.07,10.25,23.9
istockphoto-948034382-612x612.jpg,0.459,0.3709,0.292,3,4,4,689.75,424.9,328.07,11.01,34.41
istockphoto-948034382-612x612.jpg,0.459,0.3709,0.292,3,4,4,689.75,424.9,328.07,11.01,34.41
istockphoto-98261151-612x612.jpg,0.5503,0.3524,0.2795,3,1,1,859.78,1632.49,1345.67,9.64,32.63
istockphoto-98261151-612x612.jpg,0.5503,0.3524,0.2795,3,1,1,859.78,1632.49,1345.67,9.64,32.63
istockphoto-98430804-612x612.jpg,0.2964,0.2257,0.1638,5,4,4,270.32,260.05,192.62,9.97,30.9
istockphoto-98430804-612x612.jpg,0.2964,0.2257,0.1638,5,4,4,270.32,260.05,192.62,9.97,30.9
istockphoto-998836878-612x612.jpg,0.7968,0.4484,0.3337,20,8,5,198.17,265.1,316.04,21.76,44.21
istockphoto-998836878-612x612.jpg,0.7968,0.4484,0.3337,20,8,5,198.17,265.1,316.04,21.76,44.21
